hot-points_range=100,1.00,0.99,1.00
point-query_range=100,0.99,0.98,1.00
points-covered-pk_range=100,0.98,0.99,0.99
points-covered-si_range=100,0.99,0.99,0.98
points-notcovered-pk_range=100,0.97,0.99,0.98
points-notcovered-si_range=100,0.98,0.99,0.97
random-points_range=1000,0.98,0.99,0.98
random-points_range=100,0.97,0.99,0.98
random-points_range=10,0.99,0.99,0.98
range-covered-pk_range=100,0.98,0.98,0.99
range-covered-si_range=100,0.98,0.98,0.98
range-notcovered-pk_range=100,0.98,0.99,0.98
range-notcovered-si_range=100,1.00,1.02,0.99
read-only-count_range=1000,0.99,1.00,0.98
read-only-distinct_range=1000,0.98,0.98,0.98
read-only-order_range=1000,0.97,0.97,0.96
read-only_range=10000,0.97,0.98,0.97
read-only_range=100,0.98,0.99,0.98
read-only_range=10,0.99,0.99,0.99
read-only-simple_range=1000,0.98,0.99,0.99
read-only-sum_range=1000,0.98,1.00,0.98
scan_range=100,1.01,1.01,1.01
scan.warm_range=100,1.00,1.01,1.00
delete_range=100,0.99,0.99,0.99
insert_range=100,0.99,0.99,0.99
read-write_range=100,0.98,0.98,0.98
read-write_range=10,0.99,1.00,0.99
update-index_range=100,0.99,0.98,0.97
update-inlist_range=100,0.99,0.99,1.00
update-nonindex_range=100,1.00,0.97,0.99
update-one_range=100,0.97,1.00,0.98
update-zipf_range=100,1.00,0.99,1.01
write-only_range=10000,0.98,0.98,0.97
